id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
_RjhsY06mOI,1765,ASMR 10 Triggers to Help You Sleep ♥,ASMR Darling,UCikebqFWoT3QC9axUbXCPYw,,1067,0,1765,129,3
,,,,,,,,,145,5
,,,,,,,,,153,2
,,,,,,,,,164,7
,,,,,,,,,176,6
,,,,,,,,,207,7
,,,,,,,,,216,2
,,,,,,,,,312,6
,,,,,,,,,469,4
,,,,,,,,,480,5
,,,,,,,,,566,1
,,,,,,,,,665,4
,,,,,,,,,721,1
,,,,,,,,,727,2
,,,,,,,,,730,2
,,,,,,,,,1226,3
,,,,,,,,,1235,2
,,,,,,,,,1313,3
,,,,,,,,,1319,3
_sSVqaSl89A,21,Taco Bell Dorito Taco Review,Aaron Fink,UC5Z380C8tg3x8MFjmVZVrfQ,,837,0,21,0,21
,,,,,,837,0,21,0,21
,,,,,,837,0,21,1,20
_uybn2r1qGo,1839,"Tingly Sound Assortment & A Soft Spoken Ramble - Binaural, Tapping, Fabric Scratching, Sticky - ASMR",LauraLemurex ASMR,UC8OwlKvwoxQ-aMobz1oUriQ,,340,0,1839,144,5
,,,,,,,,,151,5
,,,,,,,,,162,19
,,,,,,,,,185,8
_WSNqe8TH2Q,1249,"Head Scratching, Scalp Massage w/ Positive Affirmations #3 | Audio Therapy",PuddingWhispers,UC6xqvQY1EObqLdEy2yGAVvg,,22,0,1249,5,2
,,,,,,,,,22,1
,,,,,,,,,24,2
,,,,,,,,,30,1
,,,,,,,,,38,2
,,,,,,,,,43,1
,,,,,,,,,47,2
,,,,,,,,,53,1
,,,,,,,,,63,2
,,,,,,,,,74,3
,,,,,,,,,92,2
,,,,,,,,,95,1
,,,,,,,,,100,3
,,,,,,,,,107,2
,,,,,,,,,111,5
,,,,,,,,,146,2
,,,,,,,,,150,1
,,,,,,,,,152,2
,,,,,,,,,155,2
,,,,,,,,,162,1
,,,,,,,,,164,2
,,,,,,,,,171,3
,,,,,,,,,184,3
,,,,,,,,,206,1
,,,,,,,,,222,3
,,,,,,,,,235,3
,,,,,,,,,241,1
,,,,,,,,,243,3
,,,,,,,,,264,2
,,,,,,,,,279,1
-2IW2U_6UHk,1072,"ASMR Taking Care of You While Sick RP (Nail Tapping, Feather Touching, Softly Spoken)",amalzd,UCpaA4eQJVVtca_U1UKPQouQ,,649,0,1072,23,2
,,,,,,,,,134,2
,,,,,,,,,191,3
,,,,,,,,,458,2
,,,,,,,,,465,2
,,,,,,,,,800,1
,,,,,,,,,1054,2
,,,,,,,,,1066,2
,,,,,,836,0,1072,137,1
,,,,,,,,,302,1
,,,,,,,,,310,2
,,,,,,1359,0,21,,
#NAME?,912,(3D binaural sound) Asmr touching your ears,Deep Ocean of Sounds,UCQcfesI8G59uJ4aJmiEvcLg,,162,0,912,299,5
,,,,,,,,,310,6
#NAME?,125,ASMR 2 Minute Tingle - Speed Tapping,MassageASMR,UCgOfiuubHnhVrc9IEcSk1Nw,,643,0,125,14,2
,,,,,,,,,18,3
,,,,,,,,,25,2
,,,,,,,,,43,1
,,,,,,,,,59,5
,,,,,,,,,75,3
,,,,,,,,,81,4
,,,,,,,,,96,3
,,,,,,,,,105,8
,,,,,,,,,114,8
,,,,,,,,,123,2
,,,,,,821,0,125,13,2
,,,,,,,,,23,2
,,,,,,,,,27,1
,,,,,,,,,34,2
,,,,,,,,,57,1
,,,,,,,,,72,1
,,,,,,,,,78,1
,,,,,,,,,87,1
,,,,,,,,,96,1
,,,,,,,,,106,1
,,,,,,1332,1,123,19,1
,,,,,,,,,26,1
,,,,,,,,,36,1
,,,,,,,,,46,1
,,,,,,,,,62,1
,,,,,,,,,66,1
,,,,,,,,,70,1
,,,,,,,,,78,1
,,,,,,,,,120,1
,,,,,,1407,0,2,,
,,,,,,,14,0,,
